# A	f(A)	sigma(A)
6.694726472388085048e-01 7.800000000000000000e+01 2.777283291298065365e-02
1.974322913768209231e+00 2.400000000000000000e+01 1.540559586656086756e-02
3.279173180297609846e+00 3.500000000000000000e+01 1.860402447515602589e-02
4.584023446827011128e+00 5.100000000000000000e+01 2.245732210233600604e-02
5.888873713356410633e+00 7.100000000000000000e+01 2.649732633074326771e-02
7.193723979885811914e+00 9.200000000000000000e+01 3.016246241077181686e-02
8.498574246415211420e+00 1.240000000000000000e+02 3.501738592974856096e-02
9.803424512944612701e+00 1.350000000000000000e+02 3.653757873780581755e-02
1.110827477947401221e+01 1.790000000000000000e+02 4.207260427754607596e-02
1.241312504600341349e+01 1.970000000000000000e+02 4.413732342018301252e-02
1.371797531253281477e+01 2.350000000000000000e+02 4.820663432942104420e-02
1.502282557906221427e+01 2.740000000000000000e+02 5.205328728693977419e-02
1.632767584559161733e+01 3.180000000000000000e+02 5.607721540920442005e-02
1.763252611212101684e+01 3.180000000000000000e+02 5.607721540920442005e-02
1.893737637865041989e+01 2.980000000000000000e+02 5.428514623154738483e-02
2.024222664517981940e+01 3.020000000000000000e+02 5.464826162573196977e-02
2.154707691170921890e+01 2.450000000000000000e+02 4.922162214622179122e-02
2.285192717823861841e+01 1.980000000000000000e+02 4.424920528135310727e-02
2.415677744476802147e+01 1.450000000000000000e+02 3.786664961884370073e-02
2.546162771129742097e+01 9.300000000000000000e+01 3.032594578928602194e-02
2.676647797782682403e+01 5.400000000000000000e+01 2.310839379984130221e-02
2.807132824435622354e+01 2.800000000000000000e+01 1.663994535260748808e-02
2.937617851088562304e+01 2.700000000000000000e+01 1.634010195819695505e-02
3.068102877741502255e+01 9.000000000000000000e+00 9.433962264150943036e-03
3.198587904394442205e+01 3.000000000000000000e+00 5.446700652732318348e-03
