# x	d(x)
2.967853591292822224e-01 1.500000000000000465e-03
3.181595268817473121e-01 8.400000000000004685e-03
3.395336946342123463e-01 2.519999999999990303e-02
3.609078623866773805e-01 3.630000000000001281e-02
3.822820301391424147e-01 4.320000000000021045e-02
4.036561978916074489e-01 5.390000000000051694e-02
4.250303656440724831e-01 6.140000000000073177e-02
4.464045333965375728e-01 7.050000000000099243e-02
4.677787011490026070e-01 9.480000000000168847e-02
4.891528689014676967e-01 1.023000000000019033e-01
5.105270366539327309e-01 1.080000000000020666e-01
5.319012044063977651e-01 8.630000000000144500e-02
5.532753721588627993e-01 7.840000000000121871e-02
5.746495399113278335e-01 5.870000000000065443e-02
5.960237076637928677e-01 5.380000000000051408e-02
6.173978754162579019e-01 4.540000000000027347e-02
6.387720431687229361e-01 3.549999999999998990e-02
6.601462109211879703e-01 2.379999999999991150e-02
6.815203786736530045e-01 1.049999999999999198e-02
7.028945464261181497e-01 2.100000000000000304e-03
