# x	d(x)
3.183836736361330688e-01 2.000000000000000096e-04
3.275500482574132954e-01 1.300000000000000374e-03
3.367164228786935221e-01 4.399999999999998530e-03
3.458827974999738042e-01 9.299999999999999239e-03
3.550491721212540863e-01 2.009999999999993389e-02
3.642155467425343129e-01 3.429999999999995552e-02
3.733819213638145396e-01 5.670000000000059714e-02
3.825482959850948772e-01 7.480000000000111560e-02
3.917146706063751038e-01 9.340000000000164837e-02
4.008810452276553304e-01 1.033000000000019319e-01
4.100474198489355571e-01 1.048000000000019749e-01
4.192137944702158947e-01 9.130000000000158822e-02
4.283801690914961213e-01 7.200000000000103539e-02
4.375465437127763479e-01 5.630000000000058569e-02
4.467129183340566856e-01 4.440000000000024483e-02
4.558792929553369122e-01 3.169999999999988105e-02
4.650456675766171388e-01 2.869999999999988186e-02
4.742120421978973654e-01 2.549999999999990122e-02
4.833784168191777031e-01 2.369999999999991211e-02
4.925447914404579297e-01 3.129999999999986959e-02
5.017111660617381563e-01 2.969999999999987580e-02
5.108775406830183829e-01 2.469999999999990606e-02
5.200439153042987206e-01 1.839999999999994418e-02
5.292102899255789472e-01 9.699999999999996819e-03
5.383766645468592849e-01 4.799999999999999580e-03
5.475430391681395115e-01 3.199999999999998419e-03
5.567094137894197381e-01 1.400000000000000419e-03
5.658757884106999647e-01 5.000000000000000104e-04
5.750421630319801913e-01 0.000000000000000000e+00
5.842085376532604180e-01 1.000000000000000048e-04
